frequency	transf0012	err	RUN0	RUN1	RUN2	RUN3	RUN4	RUN5	RUN6	RUN7	RUN8	RUN9
49.647669	0.06856187291	0.010333983171	0.12698412698	0.076923076923	0.084745762712	0.1186440678	0.058823529412	0.050632911392	0.045454545455	0.066666666667	0.034482758621	0
49.647671	0.056994818653	0.0096346389772	0.12698412698	0.109375	0.044776119403	0.024390243902	0.057142857143	0.016666666667	0.04	0.075	0.020833333333	0.057142857143
49.647673	0.051282051282	0.0091195481312	0.055555555556	0	0.077922077922	0.029411764706	0.018867924528	0.1	0.065217391304	0.11267605634	0.042553191489	0.020833333333
49.647675	0.067681895093	0.01033295585	0.055555555556	0.053571428571	0.051282051282	0.13333333333	0.056603773585	0.070175438596	0.027027027027	0.076923076923	0.081967213115	0.057692307692
49.647677	0.067137809187	0.01051923392	0.16	0.041666666667	0.038461538462	0.015151515152	0.092307692308	0.063492063492	0.092307692308	0.076923076923	0	0.095238095238
49.647679	0.080341880342	0.011238446117	0.11111111111	0.029850746269	0.055555555556	0.081081081081	0.10909090909	0.13333333333	0.12244897959	0.095238095238	0.058823529412	0.016393442623
49.647681	0.07027027027	0.010849698745	0.065217391304	0.025974025974	0.051724137931	0.12328767123	0.053571428571	0.017543859649	0.06	0.23076923077	0.092592592593	0.022222222222
49.647683	0.050096339114	0.009575447883	0	0.055555555556	0.08	0.053571428571	0.063492063492	0.018867924528	0.067796610169	0.066666666667	0.022222222222	0.053571428571
49.647685	0.053726169844	0.0093867110349	0.030303030303	0.022222222222	0.037037037037	0.13114754098	0.056603773585	0.02	0.073170731707	0.081081081081	0.037735849057	0.069444444444
49.647687	0.066770186335	0.0098365468042	0.012658227848	0.083333333333	0.025	0.089743589744	0.098039215686	0.038461538462	0.068181818182	0.056603773585	0.10769230769	0.10344827586
49.647689	0.071917808219	0.010690672311	0.070175438596	0.11111111111	0.096153846154	0.014084507042	0.084745762712	0.091954022989	0.058823529412	0.090909090909	0.064516129032	0.036363636364
49.647691	0.086522462562	0.011467695061	0.051948051948	0.092592592593	0.12	0.056338028169	0.11627906977	0.11267605634	0.058823529412	0.040816326531	0.14285714286	0.056603773585
49.647693	0.094306049822	0.012327992248	0.093333333333	0.072727272727	0.072463768116	0.19672131148	0.054545454545	0.068181818182	0.15789473684	0.066666666667	0.042553191489	0.092592592593
49.647695	0.089090909091	0.012147107326	0.13333333333	0.086956521739	0.075757575758	0.070175438596	0.021276595745	0.14285714286	0.1724137931	0.041666666667	0.15384615385	0.030303030303
